
> weekly-chart-technologies-over-time@1.0.0 start /Users/sarcevic/dev/weekly-chart-technologies-over-time
> ts-node src/index.ts

tech,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01
JavaScript,555646,579229,588147,563292,564943,790450,613183,578009,602510
JSON,290264,313368,339247,355201,352757,419520,383896,404316,454431
PHP,66745,64620,55220,54119,53871,53660,,,
HTML,52571,52618,52433,52980,50117,50915,48331,48554,48395
CSS,33233,35173,38926,41022,41450,40270,50374,50431,50532
LESS,17803,18193,18298,18239,18485,19189,15543,15526,15451
Svelte,15894,21740,26424,34207,36457,41442,47161,57044,64357
SVG,11289,13346,13365,13379,13390,13396,13378,13387,13328
Markdown,9484,9723,9672,10495,11123,11539,11474,14071,14134
CSV,7713,8033,8924,10466,37023,37023,37023,37023,38143
Twig,6114,5319,2387,2368,1764,1308,,,
Text,3383,3383,10097,10115,10115,10115,10102,10907,8639
SQL,3172,1632,1768,1803,1871,2530,2324,2323,2394
YAML,2945,2236,2567,3297,3623,4772,5546,6422,7460
XML,759,759,767,767,767,770,415,416,460
Bourne Again Shell,721,720,746,1127,1249,1405,1586,1685,1640
make,603,576,565,537,590,696,713,699,753
Python,602,602,602,624,624,530,90,90,90
SCSS,404,289,348,535,547,575,897,909,941
Bourne Shell,217,254,213,212,277,268,266,325,576
CoffeeScript,183,165,165,165,165,165,,,
Dockerfile,180,138,149,159,204,247,229,232,242
EJS,115,161,154,258,280,259,261,232,232
Pug,47,49,89,187,188,209,185,185,84
ASP.NET,37,37,37,37,37,37,,,
INI,30,30,30,30,30,30,30,30,30
Handlebars,16,16,16,16,16,16,16,16,16
Ruby,,,,157,157,157,157,157,157
TypeScript,,,,,270,14438,22105,28523,40354
